,FITIN,FRIEND1,FRIEND2,FRIEND5,DEVICEA,DEVICEC,INTREQ,SNS1_1,SNS1_2,SNS1_3,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,CELL1_1,OH1A,OH1B,OH1C,OH1D,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GENDER,AGE
87,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1,1,0,2,16
88,1,4,1,2,1,1,1,0,0,0,0,1,1,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,2,2,1,0,0,0,0,1,0,1,16
89,2,1,1,2,1,1,1,0,1,0,0,1,1,0,0,0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,1,1,1,0,1,0,0,1,0,1,15
90,1,1,1,2,1,1,1,1,1,0,0,1,1,0,0,0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2,2,1,0,0,0,0,1,0,0,2,15
91,1,2,1,2,1,1,2,0,1,1,1,1,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,1,1,15
92,2,2,2,3,1,1,1,0,1,1,1,1,1,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,1,1,13
93,2,3,2,2,1,1,1,1,1,0,0,1,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,2,0,0,1,0,0,0,0,1,16
94,2,2,1,2,1,1,2,0,1,0,0,1,1,0,0,0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,2,1,1,1,0,1,1,1,0,0,2,13
95,1,4,3,4,1,1,2,0,0,0,0,1,1,0,0,0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,2,0,0,0,0,0,0,1,2,13
96,2,4,2,2,1,1,1,0,1,1,1,1,1,0,0,0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,2,0,0,0,0,0,0,1,2,17
97,1,1,1,3,1,1,2,1,1,1,1,1,1,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2,1,1,1,1,1,0,1,0,0,2,14
98,2,3,3,2,1,1,2,0,1,1,1,0,1,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1,0,0,0,0,0,1,0,2,14
99,2,4,3,2,1,1,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.0,1,2,1,1,1,1,1,0,0,1,0,1,13
100,2,2,1,2,98,2,2,0,1,1,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,1,1,3,1,0,0,0,1,1,0,1,16
101,2,2,1,2,1,1,1,1,0,1,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2,1,2,2,1,0,0,0,0,0,0,2,14
102,2,1,1,2,1,1,2,1,1,1,1,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,1,1,1,1,1,1,0,0,2,17
103,2,4,2,2,1,1,2,0,1,0,0,1,1,0,0,0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,0,0,0,0,0,0,2,14
104,1,2,2,2,1,1,3,0,1,0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,0,0,1,0,0,0,0,2,14
105,1,4,1,2,1,1,1,0,0,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,1,2,0,0,0,0,0,0,1,1,13
106,1,3,2,2,1,1,1,1,1,1,1,0,1,0,0,0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,0,0,0,0,0,0,1,1,16
107,2,2,2,2,1,1,2,1,1,1,1,1,1,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,2,2,1,0,0,0,0,0,1,0,2,14
108,2,3,3,2,1,1,1,0,0,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,2,2,1,0,0,0,0,0,0,1,17
109,1,4,1,2,1,1,2,1,1,1,1,1,1,1,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,2,1,0,0,0,0,0,0,1,16
110,2,4,2,2,1,1,1,0,1,1,1,1,1,0,0,0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,2,2,1,0,1,0,0,0,0,2,16
111,1,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3,2,2,2,1,1,0,0,1,1,0,2,17
112,2,2,2,2,1,1,1,1,1,0,0,0,1,0,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,2,0,0,0,0,0,0,1,1,14
113,1,1,1,3,1,1,5,0,0,1,1,1,1,0,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2,1,0,0,0,0,1,0,1,13
114,77,3,4,2,1,1,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.0,1,1,2,2,1,0,0,0,0,0,0,2,13
115,1,3,1,2,1,1,1,1,1,0,0,1,1,0,0,0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,0,2,16
116,2,2,2,2,1,1,1,0,1,1,1,1,1,0,0,0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,1,2,0,0,1,0,0,0,0,2,16
117,1,2,1,3,1,1,2,0,1,1,1,1,1,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,2,3,0,0,0,0,0,0,1,1,15
118,2,1,1,2,1,2,1,0,0,1,1,0,0,0,0,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,2,2,2,0,0,0,0,1,0,0,2,14
119,2,1,1,3,1,1,1,0,1,0,0,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,2,2,0,1,0,0,0,0,0,1,13
120,1,4,3,2,1,1,4,0,0,1,1,0,1,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,3,3,3,0,0,0,0,0,0,1,1,15
121,2,4,4,2,1,1,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.0,1,1,1,1,0,0,0,0,0,0,1,1,13
122,2,1,1,2,1,1,2,1,1,0,0,1,1,0,0,0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,2,1,0,0,0,0,0,0,1,1,14
123,2,1,1,4,1,1,4,0,1,1,1,1,1,0,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2,0,0,0,0,0,0,1,1,14
124,2,4,2,2,1,1,1,0,0,0,0,1,1,1,0,0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,0,0,0,0,0,0,1,2,16
125,2,1,1,3,1,1,1,0,1,0,0,1,1,0,0,0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,0,0,0,1,0,0,1,17
126,2,1,1,2,1,1,2,0,1,0,0,1,1,1,0,0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,1,0,0,0,0,1,17
127,1,2,2,2,1,1,1,0,1,1,1,1,1,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,1,1,0,0,0,0,0,0,1,1,14
128,1,2,2,2,1,1,1,0,1,1,1,1,1,0,0,0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,2,1,1,0,1,0,0,0,0,2,14
129,1,2,1,2,1,1,1,0,1,0,0,1,1,0,0,0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3,2,1,3,1,0,0,0,1,1,0,2,15
